index,Bug,Dark,Dragon,Electric,Fairy,Fighting,Fire,Flying,Ghost,Grass,Ground,Ice,Normal,Poison,Psychic,Rock,Steel,Water
Bug,1.0,1.6,1.0,1.0,0.625,0.625,0.625,0.625,0.625,1.6,1.0,1.0,1.0,0.625,1.6,1.0,0.625,1.0
Dark,1.0,0.625,1.0,1.0,0.625,0.625,1.0,1.0,1.6,1.0,1.0,1.0,1.0,1.0,1.6,1.0,1.0,1.0
Dragon,1.0,1.0,1.6,1.0,0.390625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.625,1.0
Electric,1.0,1.0,0.625,0.625,1.0,1.0,1.0,1.6,1.0,0.625,0.390625,1.0,1.0,1.0,1.0,1.0,1.0,1.6
Fairy,1.0,1.6,1.6,1.0,1.0,1.6,0.625,1.0,1.0,1.0,1.0,1.0,1.0,0.625,1.0,1.0,0.625,1.0
Fighting,0.625,1.6,1.0,1.0,0.625,1.0,1.0,0.625,0.390625,1.0,1.0,1.6,1.6,0.625,0.625,1.6,1.6,1.0
Fire,1.6,1.0,0.625,1.0,1.0,1.0,0.625,1.0,1.0,1.6,1.0,1.6,1.0,1.0,1.0,0.625,1.6,0.625
Flying,1.6,1.0,1.0,0.625,1.0,1.6,1.0,1.0,1.0,1.6,1.0,1.0,1.0,1.0,1.0,0.625,0.625,1.0
Ghost,1.0,0.625,1.0,1.0,1.0,1.0,1.0,1.0,1.6,1.0,1.0,1.0,0.390625,1.0,1.6,1.0,1.0,1.0
Grass,0.625,1.0,0.625,1.0,1.0,1.0,0.625,0.625,1.0,0.625,1.6,1.0,1.0,0.625,1.0,1.6,0.625,1.6
Ground,0.625,1.0,1.0,1.6,1.0,1.0,1.6,0.390625,1.0,0.625,1.0,1.0,1.0,1.6,1.0,1.6,1.6,1.0
Ice,1.0,1.0,1.6,1.0,1.0,1.0,0.625,1.6,1.0,1.6,1.6,0.625,1.0,1.0,1.0,1.0,0.625,0.625
Normal,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.390625,1.0,1.0,1.0,1.0,1.0,1.0,0.625,0.625,1.0
Poison,1.0,1.0,1.0,1.0,1.6,1.0,1.0,1.0,0.625,1.6,0.625,1.0,1.0,0.625,1.0,0.625,0.390625,1.0
Psychic,1.0,0.390625,1.0,1.0,1.0,1.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.6,0.625,1.0,0.625,1.0
Rock,1.6,1.0,1.0,1.0,1.0,0.625,1.6,1.6,1.0,1.0,0.625,1.6,1.0,1.0,1.0,1.0,0.625,1.0
Steel,1.0,1.0,1.0,0.625,1.6,1.0,0.625,1.0,1.0,1.0,1.0,1.6,1.0,1.0,1.0,1.6,0.625,0.625
Water,1.0,1.0,0.625,1.0,1.0,1.0,1.6,1.0,1.0,0.625,1.6,1.0,1.0,1.0,1.0,1.6,1.0,0.625
